repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
ItsPi3141/alpaca-electron,Applications,Bots,1259,0,0.00%,4,0.32%,140,The simplest way to run Alpaca (and other LLaMA-based local LLMs) on your own computer,"ItsPi3141, W48B1T, 8bit-coder",7,2023-03-24,2024-04-04,39955
borisdayma/dalle-mini,Model repo,Multimodal,14607,0,0.00%,0,0.00%,1190,DALL·E Mini - Generate images from a text prompt,"borisdayma, pcuenca, khalidsaifullaah",26,2021-07-03,2023-08-22,0
openai/plugins-quickstart,AI engineering,AI interface,4252,0,0.00%,0,0.00%,747,Get a ChatGPT plugin up and running in under 5 minutes!,"logankilpatrick, joedevon",2,2023-04-06,2023-06-05,0
dsdanielpark/Bard-API,AI engineering,AI interface,5396,0,0.00%,-2,-0.04%,538,The unofficial python package that returns response of Google Bard through cookie value.,"dsdanielpark, CBoYXD, veonua",20,2023-05-11,2024-02-13,0
Cloud-CV/Fabrik,Model development,Modeling & training,1121,0,0.00%,1,0.09%,237,":factory: Collaboratively build, visualize, and design neural nets in browser","utsavgarg, Ram81, gauravgupta22",44,2016-05-28,2018-12-12,0
ruixiangcui/AGIEval,AI engineering,Evals,622,0,0.00%,3,0.48%,40,,"ruixiangcui, microsoftopensource, Eureka6174",5,2023-03-26,2023-06-05,0
trigaten/Learn_Prompting,Tutorials,,4143,0,0.00%,3,0.07%,623,"Prompt Engineering, Generative AI, and LLM Guide by Learn Prompting | Join our discord for the largest Prompt Engineering learning community","trigaten, wahub-ahmed, khanartist47",100+,2022-10-25,2024-03-15,0
kantord/SeaGOAT,Applications,Coding,904,0,0.00%,3,0.33%,55,local-first semantic code search engine,"kantord, photonbit, ashishdatta",18,2023-06-20,2024-03-15,0
openvinotoolkit/model_server,Infrastructure,Serving,631,0,0.00%,2,0.32%,190,A scalable inference server for models optimized with OpenVINO™,"dkalinowski, atobiszei, dtrawins",40,2018-09-26,2024-04-04,1018
LinkSoul-AI/Chinese-Llama-2-7b,Model repo,Multilingual,2183,0,0.00%,9,0.41%,193,开源社区第一个能下载、能运行的中文 LLaMA2 模型！,"shiyemin, soulteary, s1w3",4,2023-07-20,2023-08-01,0
AGI-Edgerunners/LLM-Adapters,Model development,Modeling & training,925,0,0.00%,4,0.43%,77,"Code for our EMNLP 2023 Paper: ""LLM-Adapters: An Adapter Family for Parameter-Efficient Fine-Tuning of Large Language Models""","HZQ950419, demoleiwang, LYH-YF",5,2023-03-29,2024-03-10,0
a16z-infra/llama2-chatbot,Applications,Bots,1368,0,0.00%,3,0.22%,218,LLaMA v2 Chatbot,"Mascobot, rajko-rad, matt-bornstein",7,2023-07-15,2023-07-22,0
tatsu-lab/alpaca_farm,Model development,Dataset engineering,705,0,0.00%,5,0.71%,55,A simulation framework for RLHF and alternatives. Develop your RLHF method without collecting human data. ,"lxuechen, YannDubs, rtaori",5,2023-05-03,2024-02-24,0
SciSharp/BotSharp,AI engineering,Agent,1896,0,0.00%,12,0.63%,397,The AI Agent Framework in .NET,"Oceania2018, hchen2020, geffzhang",24,2017-12-17,2024-04-03,0
THUDM/GLM,Model development,Modeling & training,2997,0,0.00%,10,0.33%,308,GLM (General Language Model),"duzx16, thomas0809, tuteng0915",11,2021-03-18,2022-12-28,0
mylxsw/aidea-server,AI engineering,AI interface,1378,0,0.00%,5,0.36%,387,AIdea 是一款支持 GPT  以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型 APP。,"mylxsw, wuxingzhong, bitqiu",7,2023-08-30,2024-03-12,93
huggingface/evaluate,AI engineering,Evals,1779,0,0.00%,12,0.67%,217,🤗 Evaluate: A library for easily evaluating machine learning models and datasets.,"lhoestq, lvwerra, albertvillanova",100+,2022-03-30,2023-12-27,0
kha-white/mokuro,Applications,Info aggregation,690,0,0.00%,5,0.72%,49,Read Japanese manga inside browser with selectable text.,"kha-white, imsamuka, justremember",9,2022-04-16,2024-02-18,0
datadreamer-dev/DataDreamer,Model development,Dataset engineering,619,0,0.00%,17,2.75%,33,DataDreamer: Prompt. Generate Synthetic Data. Train & Align Models.    🤖💤,"AjayP13, preemware, eltociear",4,2023-06-02,2024-03-27,24
microsoft/PromptCraft-Robotics,AI engineering,Prompt engineering,1683,0,0.00%,5,0.30%,173,Community for applying LLMs to robotics and a robot simulator with ChatGPT integration,"yuan-alex, rogeriobonatti, saihv",3,2023-02-08,2023-03-17,847
facebookresearch/multimodal,Model development,Modeling & training,1266,0,0.00%,8,0.63%,124,TorchMultimodal is a PyTorch library for training state-of-the-art multimodal multi-task models at scale.,"langong347, ebsmothers, ankitade",34,2022-01-27,1000-01-01,0
OpenLLMAI/OpenRLHF,Model development,Modeling & training,1072,0,0.00%,25,2.33%,98,"An Easy-to-use, Scalable and High-performance RLHF Framework (Support 70B+ full tuning & LoRA & Mixtral & KTO)","hijkzzz, catqaq, wuxibin89",23,2023-07-30,2024-04-02,0
mpoon/gpt-repository-loader,Applications,Coding,2369,0,0.00%,6,0.25%,182,Convert code repos into an LLM prompt-friendly format. Mostly built by GPT-4.,"mpoon, tnvmadhav, zackees",3,2023-03-16,2023-03-20,0
THUDM/CogVideo,Model repo,,3466,0,0.00%,8,0.23%,367,"Text-to-video generation. The repo for ICLR2023 paper ""CogVideo: Large-scale Pretraining for Text-to-Video Generation via Transformers""","wenyihong, mallorbc, AK391",3,2022-05-29,2022-08-05,0
google-research/tapas,Model repo,Multimodal,1098,0,0.00%,2,0.18%,210,End-to-end neural table-text understanding models.,"eisenjulian, SyrineKrichene, ChayanBansal",8,2020-03-31,2021-08-09,0
melodysdreamj/WizardVicunaLM,Model repo,,705,0,0.00%,2,0.28%,37,LLM that combines the principles of wizardLM and vicunaLM,"melodysdreamj, eltociear, TheFaheem",4,2023-05-03,2023-05-25,0
modAL-python/modAL,Model development,Dataset engineering,2131,0,0.00%,6,0.28%,313,A modular active learning framework for Python,"cosmic-cortex, maxkeller321, s0tt",16,2017-11-14,2020-09-22,31
rapidsai/raft,Infrastructure,VectorDB,588,0,0.00%,2,0.34%,165,RAFT contains fundamental widely-used algorithms and primitives for machine learning and information retrieval. The algorithms are CUDA-accelerated and form building blocks for more easily writing high performance applications.,"cjnolet, GPUtester, aschaffer",78,2019-06-13,2024-04-03,0
AI4Finance-Foundation/FinRL-Meta,Model development,Dataset engineering,1097,0,0.00%,5,0.46%,520,FinRL­-Meta: Dynamic datasets and market environments for FinRL.,"zhumingpassional, rayrui312, YangletLiu",32,2021-02-16,2024-03-20,0
facebookresearch/fairscale,Model development,Modeling & training,2845,0,0.00%,9,0.32%,255,PyTorch extensions for high performance and large scale training.,"blefaudeux, min-xu-ai, msbaines",66,2020-07-07,2024-04-01,0
ianarawjo/ChainForge,AI engineering,Prompt engineering,1860,0,0.00%,33,1.77%,128,An open-source visual programming environment for battle-testing prompts to LLMs.,"ianarawjo, priyanmuthu, eglassman",5,2023-03-26,2024-04-02,0
axflow/axflow,AI engineering,AIE framework,1077,0,0.00%,5,0.46%,46,The TypeScript framework for AI development,"benjreinhart, nichochar, ricki-epsilla",3,2023-07-02,2023-12-21,0
gligen/GLIGEN,Model repo,Multimodal,1750,0,0.00%,7,0.40%,133,Open-Set Grounded Text-to-Image Generation,"Yuheng-Li, haotian-liu, ChunyuanLI",5,2023-01-13,2023-03-30,0
chiphuyen/lazynlp,Model development,Dataset engineering,2147,0,0.00%,1,0.05%,311,Library to scrape and clean web pages to create massive datasets.,"ss18, chiphuyen, cclauss",4,2019-02-27,2019-10-07,0
guinmoon/LLMFarm,AI engineering,AI interface,800,0,0.00%,12,1.50%,43,llama and other  large language models on iOS and MacOS offline using GGML library.,guinmoon,1,2023-06-14,1000-01-01,208
dillionverma/llm.report,Infrastructure,Monitoring,821,0,0.00%,5,0.61%,62,"📊 llm.report is an open-source logging and analytics platform for OpenAI: Log your ChatGPT API requests, analyze costs, and improve your prompts.","dillionverma, haseab, naveennaidu",9,2023-04-25,2024-02-09,0
salesforce/xgen,Model repo,,710,0,0.00%,1,0.14%,35,Salesforce open-source LLMs with 8k sequence length.,"enijkamp, rooa",2,2023-06-23,1000-01-01,0
tensorflow/privacy,Model development,Modeling & training,1862,0,0.00%,2,0.11%,438,Library for training machine learning models with privacy for training data,"schien1729, galenmandrew, michaelreneer",55,2018-12-21,2024-02-16,128
OpenGVLab/GITM,Applications,Bots,562,0,0.00%,2,0.36%,16,Ghost in the Minecraft: Generally Capable Agents for Open-World Environments via Large Language Models with Text-based Knowledge and Memory,jackroos,1,2023-05-18,1000-01-01,0
shibing624/pycorrector,Applications,Writing,5132,0,0.00%,17,0.33%,1054,pycorrector is a toolkit for text error correction. 文本纠错，实现了Kenlm，T5，MacBERT，ChatGLM3，LLaMA等模型应用在纠错场景，开箱即用。,"shibing624, okcd00, cclauss",19,2018-03-01,2024-01-31,1857
a16z-infra/ai-town,Applications,Bots,6173,0,0.00%,16,0.26%,542,"A MIT-licensed, deployable starter kit for building and customizing your own version of AI town - a virtual town where AI characters live, chat and socialize.","ianmacartney, sujayakar, ykhli",30,2023-07-16,2024-02-07,0
interstellard/chatgpt-advanced,Applications,Bots,6345,0,0.00%,4,0.06%,811,WebChatGPT: A browser extension that augments your ChatGPT prompts with web results.,"qunash, thefourcraft, okkidwi",14,2022-12-03,2023-05-08,2657
google-research/multilingual-t5,Model repo,Multilingual,1215,0,0.00%,1,0.08%,120,,"lintingxue, adarob, nconstant-google",11,2020-10-22,2022-12-15,0
lucidrains/self-rewarding-lm-pytorch,Model development,Modeling & training,1211,0,0.00%,12,0.99%,67,"Implementation of the training framework proposed in Self-Rewarding Language Model, from MetaAI","lucidrains, Control-derek, Dyke-F",5,2024-01-19,2024-03-29,0
EmbraceAGI/LifeReloaded,Applications,Bots,569,0,0.00%,5,0.88%,31,"A life simulation Game powered by GPT-4's “Advanced Data Analysis” function , offering you a second chance at life.                  由GPT4的Advanced Data Analysis功能驱动的人生重来模拟器，给您人生第二春。","Taited, hamutama, ydyjya",4,2023-09-15,2023-11-12,0
Coframe/coffee,Applications,Coding,1339,0,0.00%,8,0.60%,62,Build and iterate on your UI 10x faster with AI - right from your own IDE ☕️,"joshpxyne, tunahfishy, 1um",6,2023-11-04,2024-01-20,0
Moonvy/OpenPromptStudio,AI engineering,Prompt engineering,5706,0,0.00%,15,0.26%,676,🥣 AIGC 提示词可视化编辑器  | OPS | Open Prompt Studio,"yArna, sinlov, 0xLLLLH",8,2023-03-25,2023-04-24,0
punica-ai/punica,Infrastructure,Serving,790,0,0.00%,4,0.51%,37,Serving multiple LoRA finetuned LLM as one,"abcdabcd987, yzh119, luciferlinx101",7,2023-08-16,2024-01-09,6
li-plus/chatglm.cpp,Model development,Inference optimization,2523,0,0.00%,19,0.75%,298,C++ implementation of ChatGLM-6B & ChatGLM2-6B & ChatGLM3 & more LLMs,"li-plus, wizardbyron, eltociear",12,2023-05-23,2024-03-17,783
joshpxyne/gpt-migrate,Applications,Coding,6737,0,0.00%,7,0.10%,461,Easily migrate your codebase from one framework or language to another.,"joshpxyne, MkuuWaUjinga, sandys",5,2023-06-24,2023-09-07,0
lxtGH/OMG-Seg,Model repo,,671,0,0.00%,6,0.89%,19,[CVPR-2024] One Model For Image/Video/Instractive/Open-Vocabulary Segmentation,"lxtGH, eltociear",2,2024-01-05,2024-01-26,0
liltom-eth/llama2-webui,Applications,Bots,1930,0,0.00%,4,0.21%,187,Run any Llama 2 locally with gradio UI on GPU or CPU from anywhere (Linux/Windows/Mac). Use `llama2-wrapper` as your local llama2 backend for Generative Agents/Apps.  ,"liltom-eth, jules552, zhangp365",8,2023-07-20,2023-07-26,0
cocacola-lab/ChatIE,AI engineering,Prompt engineering,709,0,0.00%,3,0.42%,58,"The online version is temporarily unavailable because we cannot afford the key. You can clone and run it locally. Note: we set defaul openai key. If keys exceed plan and are invalid, please tell us. The response speed depends on openai. ( sometimes, the official is too crowded and slow)","threeColorFr, xiaoen0, XingyuCui",5,2023-02-16,2023-03-30,0
studio-ousia/luke,Model repo,Multilingual,681,0,0.00%,0,0.00%,100,LUKE -- Language Understanding with Knowledge-based Embeddings,"ikuyamada, ryokan0123, chantera",4,2019-02-21,2023-06-16,0
marella/chatdocs,Applications,Info aggregation,628,0,0.00%,3,0.48%,93,Chat with your documents offline using AI.,"marella, ianmeinert, pyrater",3,2023-06-02,2023-06-13,0
arielnlee/Platypus,Model development,Modeling & training,620,0,0.00%,0,0.00%,55,Code for fine-tuning Platypus fam LLMs using LoRA,"arielnlee, lilloukas",2,2023-06-26,2023-08-11,0
JohnSnowLabs/spark-nlp,Model development,Modeling & training,3656,0,0.00%,4,0.11%,698,State of the Art Natural Language Processing,"maziyarpanahi, saif-ellafi, DevinTDHa",89,2017-09-24,2024-03-20,0
RootbeerComputer/backend-GPT,Applications,Coding,2947,0,0.00%,2,0.07%,226,,"evanmays, TheAppleTucker, Teddy55Codes",4,2023-01-21,2023-02-04,0
irgolic/AutoPR,Applications,Coding,1183,0,0.00%,7,0.59%,80,Run AI-powered workflows over your codebase,"irgolic, tjazerzen, PireIre",11,2023-03-18,2024-02-21,0
openai/following-instructions-human-feedback,Model repo,,1122,0,0.00%,2,0.18%,135,,"clwainwright, ryan-lowe",2,2022-01-25,1000-01-01,0
salesforce/BLIP,Model repo,Multimodal,4177,0,0.00%,23,0.55%,558,PyTorch code for BLIP: Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation  ,AK391,1,2022-01-25,2022-02-08,0
dvorka/mindforger,Applications,Info aggregation,2167,0,0.00%,9,0.42%,127,Thinking notebook and Markdown editor with LLM wingman.,"dvorka, vlastahajek, COMPUTER102",9,2017-12-25,2023-12-25,24610
BCG-X-Official/agentkit,AI engineering,Agent,1369,0,0.00%,7,0.51%,174,"Starter-kit to build constrained agents with Nextjs, FastAPI and Langchain","kaikun213, drivian, almirb",6,2024-01-25,2024-03-29,0
ricklamers/shell-ai,Applications,Coding,945,0,0.00%,3,0.32%,53,LangChain powered shell command generator and runner CLI,"ricklamers, ksfi, Elijas",7,2023-08-20,2024-03-08,0
OpenBMB/BMTools,AI engineering,Agent,2827,0,0.00%,7,0.25%,260,"Tool Learning for Big Models, Open-Source Solutions of ChatGPT-Plugins","thuqinyj16, Kunlun-Zhu, zhouxh19",17,2023-03-31,2023-06-06,0
GaiZhenbiao/ChuanhuChatGPT,AI engineering,AI interface,14593,0,0.00%,33,0.23%,2219,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI.","GaiZhenbiao, Keldos-Li, MZhao-ouo",46,2023-03-02,2024-04-02,1382
iryna-kondr/scikit-llm,Model development,Modeling & training,2913,0,0.00%,5,0.17%,225,Seamlessly integrate LLMs into scikit-learn.,"OKUA1, iryna-kondr, VDuchauffour",9,2023-05-12,2023-12-25,0
FreedomIntelligence/Medical_NLP,Lists,,1947,0,0.00%,10,0.51%,382,"Medical NLP Competition, dataset, large models, paper  医疗NLP领域   比赛，数据集，大模型，论文，工具包","lrs1353281004, wangxidong06, RobinLin2002",6,2019-11-14,1000-01-01,0
MineDojo/MineDojo,AI engineering,Agent,1645,0,0.00%,-2,-0.12%,147,Building Open-Ended Embodied Agents with Internet-Scale Knowledge,"yunfanjiang, DrJimFan, wangguanzhi",8,2022-06-18,2023-08-29,0
Cormanz/smartgpt,Applications,Workflow automation,1720,0,0.00%,1,0.06%,125,A program that provides LLMs with the ability to complete complex tasks using plugins.,"Cormanz, philip06, orvitpng",8,2023-04-11,2023-06-02,0
anse-app/anse,AI engineering,AI interface,1775,0,0.00%,4,0.23%,422,"Supercharged experience for multiple models such as ChatGPT, DALL-E and Stable Diffusion.","ddiu8081, yzh990918, eliassebastian",24,2023-04-26,2024-03-12,0
lgrammel/modelfusion,AI engineering,AIE framework,840,0,0.00%,15,1.79%,58,The TypeScript library for building AI applications.,"lgrammel, jakedetels, bearjaws",12,2023-05-25,2024-01-07,0
SqueezeAILab/SqueezeLLM,Model development,Inference optimization,556,0,0.00%,6,1.08%,35,SqueezeLLM: Dense-and-Sparse Quantization,"kssteven418, chooper1, amirgholami",7,2023-06-12,2024-03-22,0
OpenGVLab/InternVideo,Model repo,Multimodal,857,0,0.00%,21,2.45%,55,Video Foundation Models & Data for Multimodal Understanding,"shepnerd, yinanhe, wz0919",14,2022-11-23,2024-03-31,0
microsoft/windows-ai-studio,AI engineering,AIE framework,785,0,0.00%,-2,-0.25%,29,,"tesych, vriveras, microsoftopensource",7,2023-12-08,2024-01-19,0
openai/DALL-E,Model repo,Multimodal,10705,0,0.00%,1,0.01%,1942,PyTorch package for the discrete VAE used for DALL·E.,adityaramesh,1,2021-02-23,1000-01-01,0
ray-project/ray-llm,Infrastructure,Serving,1109,0,0.00%,13,1.17%,76,RayLLM - LLMs on Ray,"Yard1, richardliaw, shrekris-anyscale",21,2023-05-31,2024-03-26,0
xtreme1-io/xtreme1,Model development,Dataset engineering,717,0,0.00%,2,0.28%,110,"Xtreme1 is an all-in-one data labeling and annotation platform for multimodal data training and supports 3D LiDAR point cloud, image, and LLM.","fanyinbo, jaggerwang, Ruovan",18,2022-08-08,2024-04-02,1456
google-research/electra,Model repo,,2283,0,0.00%,3,0.13%,349,ELECTRA: Pre-training Text Encoders as Discriminators Rather Than Generators,"clarkkev, PhilipMay, stefan-it",5,2020-03-10,2021-03-31,0
jncraton/languagemodels,Applications,Bots,1152,0,0.00%,2,0.17%,78,Explore large language models in 512MB of RAM,"jncraton, munoztd0, eltociear",3,2023-05-07,2023-06-20,0
horseee/LLM-Pruner,Model development,Inference optimization,620,0,0.00%,5,0.81%,60,"[NeurIPS 2023] LLM-Pruner: On the Structural Pruning of Large Language Models. Support LLaMA, Llama-2, BLOOM, Vicuna, Baichuan, etc.","horseee, VainF, eltociear",3,2023-05-17,2023-05-26,0
madox2/vim-ai,Applications,Coding,551,0,0.00%,5,0.91%,44,AI-powered code assistant for Vim. OpenAI and ChatGPT plugin for Vim and Neovim.,"madox2, Konfekt, GordianDziwis",10,2023-02-27,2024-03-24,0
OpenGenerativeAI/GenossGPT,AI engineering,AI interface,721,0,0.00%,0,0.00%,64,"One API for all LLMs either Private or Public (Anthropic, Llama V2, GPT 3.5/4, Vertex, GPT4ALL, HuggingFace ...) 🌈🐂  Replace OpenAI GPT with any LLMs in your app with one line.","Wirg, StanGirard, mattzcarey",4,2023-07-16,2023-08-28,0
huggingface/llm-vscode,Applications,Coding,1070,0,0.00%,10,0.93%,116,LLM powered development for VSCode,"McPatate, antoinejeannot, HennerM",5,2023-02-16,2024-02-15,0
salesforce/CodeTF,Model development,Modeling & training,1406,0,0.00%,3,0.21%,93,CodeTF: One-stop Transformer Library for State-of-the-art Code LLM,"bdqnghi, Paul-B98, v-i-s-h",4,2023-05-02,2024-02-28,13
smallcloudai/refact,Applications,Coding,1383,0,0.00%,8,0.58%,91,WebUI for Fine-Tuning and Self-hosting of Open-Source Large Language Models for Coding ,"olegklimov, mitya52, oxyplay",13,2023-04-19,2024-04-02,0
run-llama/llama-hub,Infrastructure,Data management,3384,0,0.00%,2,0.06%,721,A library of data loaders for LLMs made by the community -- to be used with LlamaIndex and/or LangChain,"jerryjliu, emptycrown, nerdai",100+,2023-02-01,2024-02-13,0
abacaj/mpt-30B-inference,Model development,Inference optimization,571,0,0.00%,0,0.00%,100,Run inference on MPT-30B using CPU,abacaj,1,2023-06-26,1000-01-01,0
madawei2699/myGPTReader,Applications,Info aggregation,4372,0,0.00%,6,0.14%,445,A community-driven way to read and chat with AI bots - powered by chatGPT.,"madawei2699, lycfyi, ImgBotApp",6,2023-03-08,2023-05-04,0
eyurtsev/kor,AI engineering,Prompt engineering,1481,0,0.00%,4,0.27%,79,LLM(😽) ,"eyurtsev, BorisWilhelms, chaimt",11,2023-02-16,2024-03-15,0
PaddlePaddle/PaddleNLP,Model development,Modeling & training,11285,0,0.00%,30,0.27%,2794,"👑 Easy-to-use and powerful NLP and LLM library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc.","sijunhe, linjieccc, wawltor",100+,2021-02-05,2024-04-03,0
IEIT-Yuan/Yuan-2.0,Model repo,Multilingual,604,0,0.00%,1,0.17%,74,Yuan 2.0 Large Language Model,"Shawn-IEITSystems, zhaoxudong01, lilianlhl",14,2023-11-26,2024-04-01,0
FreedomIntelligence/LLMZoo,AI engineering,AIE framework,2849,0,0.00%,0,0.00%,190,"⚡LLM Zoo is a project that provides data, models, and evaluation benchmark for large language models.⚡","zhjohnchan, wabyking, fjiangAI",9,2023-04-01,2023-07-25,0
pixiv/chatvrm,AI engineering,AI interface,625,0,0.00%,1,0.16%,164,,"ke456-png, inoueharutaka, batoracli",3,2023-04-21,2024-01-10,0
yuchenlin/LLM-Blender,Model development,Modeling & training,765,0,0.00%,6,0.78%,64,"[ACL2023] We introduce LLM-Blender, an innovative ensembling framework to attain consistently superior performance by leveraging the diverse strengths of multiple open-source LLMs. LLM-Blender cut the weaknesses through ranking and integrate the strengths through fusing generation to enhance the capability of LLMs.","jdf-prog, yuchenlin",2,2023-05-31,1000-01-01,0
open-mmlab/mmagic,Model development,Modeling & training,6509,0,0.00%,8,0.12%,1032,"OpenMMLab Multimodal Advanced, Generative, and Intelligent Creation Toolbox. Unlock the magic 🪄: Generative-AI (AIGC), easy-to-use APIs, awsome model zoo, diffusion models, for text-to-image generation, image/video restoration/enhancement, etc.","Yshuo-Li, hejm37, Z-Fran",100+,2019-08-23,2023-12-15,0
replit/ReplitLM,Model repo,,906,0,0.00%,1,0.11%,68,Inference code and configs for the ReplitLM model family,"pirroh, madhavatreplit, eltociear",5,2023-04-28,2023-10-09,0
llm-workflow-engine/llm-workflow-engine,AI engineering,AIE framework,3573,0,0.00%,3,0.08%,473,Power CLI and Workflow manager for LLMs (core package),"thehunmonkgroup, mmabrouk, Tecuya",25,2022-12-03,2024-01-17,0
Haidra-Org/AI-Horde,Infrastructure,Compute management,963,0,0.00%,7,0.73%,110,A crowdsourced distributed cluster for AI art and text generation,"db0, tazlin, ResidentChief",27,2022-09-13,2024-03-24,0
MetaGLM/FinGLM,Model repo,,1400,0,0.00%,6,0.43%,208,FinGLM: 致力于构建一个开放的、公益的、持久的金融大模型项目，利用开源开放来促进「AI+金融」。,"jiawei243, dictmap, JamePeng",6,2023-09-25,2023-11-17,0
SkyworkAI/Skywork,Model repo,Multilingual,1043,0,0.00%,12,1.15%,91,"Skywork series models are pre-trained on 3.2TB of high-quality multilingual (mainly Chinese and English) and code data. We have open-sourced the model, training data, evaluation data, evaluation methods, etc.       天工系列模型在3.2TB高质量多语言和代码数据上进行预训练。我们开源了模型参数，训练数据，评估数据，评估方法。","zhao1iang, TianwenWei, eltociear",5,2023-10-10,2024-04-03,0
scaleapi/llm-engine,Infrastructure,Serving,739,0,0.00%,1,0.14%,44,Scale LLM Engine public repository,"yunfeng-scale, ian-scale, saiatmakuri",23,2023-07-13,2024-04-04,0
openchatai/OpenChat,Applications,Workflow automation,5041,0,0.00%,2,0.04%,633,LLMs custom-chatbots console ⚡,"lvalics, codebanesr, gharbat",13,2023-05-30,2024-02-22,0
uTensor/uTensor,Model development,Inference optimization,1633,0,0.00%,3,0.18%,222,TinyML AI inference library,"mbartling, neil-tan, Knight-X",16,2017-09-21,2024-03-30,0
salesforce/OmniXAI,AI engineering,Evals,805,0,0.00%,11,1.37%,84,OmniXAI: A Library for eXplainable AI,"yangwenz, yangwenzhuo08, tanmaylaud",7,2022-02-17,2023-08-01,0
wzpan/wukong-robot,AI engineering,AI interface,5711,0,0.00%,18,0.32%,1269,🤖 wukong-robot 是一个简单、灵活、优雅的中文语音对话机器人/智能音箱项目，支持ChatGPT多轮对话能力，还可能是首个支持脑机交互的开源智能音箱项目。,"wzpan, phoenixsfly, tonytan1701",18,2019-01-16,2024-03-09,0
wenge-research/YaYi,Model repo,Multilingual,3210,0,0.00%,4,0.12%,41,雅意大模型：为客户打造安全可靠的专属大模型，基于大规模中英文多领域指令数据训练的 LlaMA 2 & BLOOM 系列模型，由中科闻歌算法团队研发。(Repo for YaYi Chinese LLMs based on LlaMA2 & BLOOM),wenge-research,1,2023-05-24,1000-01-01,0
lucidrains/x-transformers,Model repo,,4071,0,0.00%,18,0.44%,351,A simple but complete full-attention transformer with a set of promising experimental features from various papers,"lucidrains, gurvindersingh, jbcdnr",21,2020-10-24,2024-02-26,0
rksm/org-ai,Applications,Bots,582,0,0.00%,4,0.69%,49,Emacs as your personal AI assistant. Use LLMs such as ChatGPT or LLaMA for text generation or DALL-E and Stable Diffusion for image generation. Also supports speech input / output.,"rksm, togakangaroo, doctorguile",12,2023-03-06,2024-01-03,0
Kent0n-Li/ChatDoctor,Applications,Bots,3338,0,0.00%,7,0.21%,388,,"Kent0n-Li, saharmor",2,2023-03-21,2023-03-30,0
georgia-tech-db/evadb,Applications,Coding,2560,0,0.00%,6,0.23%,260,Database system for AI-powered apps,"gaurav274, jarulraj, xzdandy",63,2018-09-10,2023-12-03,408170
openai/glide-text2im,Model repo,Multimodal,3451,0,0.00%,0,0.00%,488,GLIDE: a diffusion-based text-conditional image synthesis model,"unixpickle, prafullasd, lochiego",4,2021-12-10,2022-03-21,0
google-research/uda,Model development,Dataset engineering,2163,0,0.00%,0,0.00%,312,Unsupervised Data Augmentation (UDA),"michaelpulsewidth, chiragjn, varunnair18",5,2019-06-19,2019-10-25,0
marella/ctransformers,AI engineering,AIE framework,1668,0,0.00%,10,0.60%,128,Python bindings for the Transformer models implemented in C/C++ using GGML library.,"marella, abacaj, jncraton",6,2023-05-14,2023-08-08,0
THUDM/AgentTuning,AI engineering,Agent,1199,0,0.00%,13,1.08%,82,AgentTuning: Enabling Generalized Agent Abilities for LLMs,"lr-tsinghua11, Sengxian, Btlmd",8,2023-10-18,2023-10-28,0
eumemic/ai-legion,AI engineering,Agent,1284,0,0.00%,4,0.31%,150,An LLM-powered autonomous agent platform,"eumemic, MalikMAlna, TheBitmonkey",6,2023-04-10,2023-04-16,0
emcf/engshell,Applications,Coding,2159,0,0.00%,0,0.00%,190,"An English-language shell for any OS, powered by LLMs","emcf, Patronics, AzureDominus",5,2023-03-19,2023-04-28,0
microsoft/ToRA,Model repo,,800,0,0.00%,2,0.25%,58,ToRA is a series of Tool-integrated Reasoning LLM Agents designed to solve challenging mathematical reasoning problems by interacting with tools [ICLR'24].,"ZubinGou, microsoftopensource, ZhihongShao",4,2023-09-27,1000-01-01,0
jina-ai/langchain-serve,AI engineering,AIE framework,1567,0,0.00%,1,0.06%,135,⚡ Langchain apps in production using Jina & FastAPI,"deepankarm, zac-li, hanxiao",6,2023-03-21,2023-08-22,0
OpenGVLab/InternImage,Model repo,Multimodal,2272,0,0.00%,6,0.26%,213,[CVPR 2023 Highlight] InternImage: Exploring Large-Scale Vision Foundation Models with Deformable Convolutions,"czczup, Zeqiang-Lai, YeShenglong1",13,2022-11-10,2024-01-23,7069
spotify/voyager,Infrastructure,VectorDB,1138,0,0.00%,7,0.62%,47,"🛰️ An approximate nearest-neighbor search library for Python and Java with a focus on ease of use, simplicity, and deployability.","psobot, dylanrb123, markkohdev",5,2023-04-13,2024-03-26,0
ctlllll/LLM-ToolMaker,Model repo,,989,0,0.00%,5,0.51%,97,,ctlllll,1,2023-05-25,1000-01-01,0
